"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1821","Check displaying of empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","3295","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","3553","Edit course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1732","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","1920","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2319","Registration with correct email, username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","3031","Edit course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1","test_regression_case","tests.pytest","2026-09-21","passed","2026-09-21","","test_markers","",""
"","0","test_login","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-09-21","passed","2026-09-21","TestUserInterface","test_markers","",""
"","1801","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1496","Check displaying of empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","2159","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1953","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1850","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2042","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2816","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","3353","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-09-21","passed","2026-09-21","","test_markers","",""
"","1949","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","2577","Registration with correct email, username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","1629","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","2435","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","2836","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
